"","Country","continent","region","ISO3","wbcode","Climate_NominalScore","Climate_AdjustedScore","Hunger_Score","Corruption_Score","Fragile_State","LIFDC","Average_Conflict","GDP","HDI_2014","Corruption_Zscore","Climate_Zscore","Conflict_Zscore","Hunger_Zscore","Climate_Nominal_Zscore","Conflict_Zscore_Reversed","Summary_ZScore","Summary_ZScore_2","Summary_ZScore_3","Summary_ZScore_4","Summary_ZScore_5"
"135","Lebanon","Asia","Western Asia","LBN","LBN",52.3290118906,-5.56689442279,6.4,28,0,0,6.52464431625,83.86,0.769,-0.724842101962378,-0.485723183634729,1.13136289837373,-0.959863506730816,0.00187554915438533,-1.13136289837373,-0.780642727990278,-0.618109817060574,-0.928102500168053,-0.564743674609671,-0.361483276403996
"136","Lesotho","Africa","Southern Africa","LSO","LSO",38.9724705441,-0.761493540835,23.5,44,0,1,2.8087422875,5.78,0.497,0.0710629511727823,-0.15971615208846,-0.544781092034069,0.497191817940158,-0.987684063036598,0.544781092034069,0.152042630372797,-0.123946673276582,0.307922021603426,-0.221451485501264,-0.458310555931908
"137","Liberia","Africa","Western Africa","LBR","LBR",35.5121916748,6.5436651193,30.8,37,1,1,1.51593763725,3.78,0.43,-0.27714550957385,0.335878939407058,-1.12793068223377,1.11920958812133,-1.24404924973775,1.12793068223377,0.395554704022325,-0.131088025692612,0.425392586329959,-0.0580592837519923,-0.760597379655802
"138","Libya","Africa","Northern Africa","LBY","LBY",43.023712332,-13.791210737,NA,16,1,0,9.27625144975,92.88,0.724,-1.32177089181375,-1.04367558218724,2.37253926015491,NA,-0.687535607794721,-2.37253926015491,-1.57932857805197,-1.46061525325446,-1.84715507598433,-1.53003743397482,-1.00465324980423
"139","Liechtenstein","Europe","Western Europe","LIE","LIE",NA,NA,NA,NA,0,0,NA,NA,0.908,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Lithuania","Europe","Northern Europe","LTU","LTU",67.8341529573,5.80113527457,2.5,61,0,0,NA,82.14,0.839,0.91671207012889,0.285504380351236,NA,-1.29217437025227,1.15062064587441,NA,NA,NA,NA,NA,1.03366635800165
"141","Luxembourg","Europe","Western Europe","LUX","LUX",72.6503512369,-1.20829068193,NA,81,0,0,NA,56.58,0.892,1.91159338654784,-0.190027673072841,NA,NA,1.50744320780544,NA,NA,NA,NA,NA,1.70951829717664
"142","Macao","Asia","Eastern Asia","MAC","MAC",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Macedonia, the former Yugoslav Republic of","Europe","Southern Europe","MKD","MKD",59.8170873102,4.82387793338,5.9,42,0,0,2.91803317625,28.89,NA,-0.0284251804691128,0.219205486110276,-0.495482896073219,-1.00246746359254,0.556652180023568,0.495482896073219,0.228754400571461,0.341236631875891,0.233528857802053,0.526067538048394,0.264113499777228
"144","Madagascar","Africa","Eastern Africa","MDG","MDG",35.074770813,0.996303197038,36.3,28,1,1,2.12227968425,35.56,0.51,-0.724842101962378,-0.0404640624807863,-0.854426006828617,1.5878531136003,-1.27645689234056,0.854426006828617,0.029706614128484,-0.382290995824775,0.0647919524331192,-0.211015442755974,-1.00064949715147
