"Country","continent","region","ISO3","wbcode","Climate_NominalScore","Climate_AdjustedScore","Hunger_Score","Corruption_Score","Fragile_State","LIFDC","Average_Conflict","GDP","HDI_2014","Corruption_Zscore","Climate_Zscore","Conflict_Zscore","Hunger_Zscore","Climate_Nominal_Zscore","Summary_ZScore","Summary_ZScore_2","Summary_ZScore_3","Summary_ZScore_4","Summary_ZScore_5"
"Togo","Africa","Western Africa","TGO","TGO",37.8167400585,3.79075302282,23,32,1,1,1.94031143475,10.82,0.484,-0.525865838678588,0.149116435564477,-0.936507015823101,0.454587861078433,-1.07330983856174,-0.437752139645737,-0.845227564354475,-0.731186427250845,-1.00490842719242,-0.799587838620162
"Tokelau","Oceania","Polynesia","TKL","TKL",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tonga","Oceania","Polynesia","TON","TON",45.8372692068,-0.527509211719,NA,NA,0,0,NA,0.52,0.717,NA,-0.143842234711473,NA,NA,-0.479084768788114,NA,NA,NA,NA,NA
"Trinidad and Tobago","Americas","Caribbean","TTO","TTO",54.8054168554,-8.47925465328,8.3,39,0,0,1.8220515225,44.33,0.772,-0.177657377931955,-0.683302935430417,-0.989850898328709,-0.797968470656263,0.185347472987232,-0.616937070563694,-0.327386934424478,-0.583754138130332,-0.402251712670739,0.00384504752763815
"Tunisia","Africa","Northern Africa","TUN","TUN",52.8844200531,-0.849825409366,5.6,38,0,0,5.26219409225,127.21,0.721,-0.227401443752903,-0.16570874478949,0.561905377757018,-1.02802983770957,0.043024636454237,0.0562650630715417,0.125842856819451,0.167251967002057,0.302465007105627,-0.0921884036493329
"Turkey","Asia","Western Asia","TUR","TUR",60.2723994,1.19320151702,5.1,42,0,0,5.9429952925,1576.29,0.761,-0.0284251804691128,-0.0271061266101655,0.868996585122707,-1.0706337945713,0.590385348163419,0.271155092681143,0.476985584272338,0.420285702326797,0.729690966643063,0.280980083847153
"Turkmenistan","Asia","Central Asia","TKM","TKM",40.2760879114,-16.4668975442,12.9,18,0,0,5.3576747945,90.29,0.688,-1.22228276017185,-1.22519898362465,0.604974168063659,-0.406012067528399,-0.891101642261264,-0.614169191910948,-0.502803411456486,-0.308654296054097,-0.143063737098802,-1.05669220121656
"Turks and Caicos Islands","Americas","Caribbean","TCA","TCA",NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuscany",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tuvalu","Oceania","Polynesia","TUV","TUV",NA,NA,NA,NA,1,0,NA,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Two Sicilies",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uganda","Africa","Eastern Africa","UGA","UGA",36.9395156799,0.894867816094,27.6,25,0,1,7.1590979415,79.75,0.483,-0.874074299425221,-0.0473456210120414,1.41754795463393,0.846544264206298,-1.13830164994256,0.16537601139889,-0.198275998244616,0.271736827604356,0.139623152345687,-1.00618797468389
"Ukraine","Europe","Eastern Europe","UKR","UKR",57.5543529897,6.34009509591,2.5,27,0,0,7.03247506175,341.49,0.747,-0.774586167783326,0.322068383187619,1.36043176123082,-1.29217437025227,0.389010689715753,0.302637992211706,0.32495209438775,0.292922796723749,0.874721225473289,-0.192787739033786
"United Arab Emirates","Asia","Western Asia","ARE","ARE",62.5184004438,-8.05780182504,NA,70,0,0,2.1590979415,641.88,0.835,1.36440866251742,-0.654710818176008,-0.837818276014025,NA,0.756787103245447,-0.0427068105575381,0.427792496582947,0.263295193251697,-0.040515586384289,1.06059788288143
"United Kingdom","Europe","Northern Europe","GBR","GBR",79.0069065953,13.3451027194,NA,81,0,0,NA,2659.73,0.907,1.91159338654784,0.797300688960177,NA,NA,1.97838776539311,NA,NA,NA,NA,1.94499057597047
